,Reviews
10,"Got the Apple AirPods Gen 3 recently.  I like the improved sound the spatial awareness surround sound feature is nice.  I like that compared to the gen1, you can hear what is going on around you sound wise at the appropriate volumes.  The bass is rich, highs are good.  The controls work well, pods are well built of quality material.  Connectivity is good and does drop audio.I will say the only thing that I have a problem with the fit of the AirPods.  Unlike the gen 1 and 2 that just hangs well on my ears they’d seem a little loose.  When I smile I can feel them dislodging.  The smaller size makes it hard to handle if you have bigger hands.  While controls are responsive, depending on size of your hands it may be difficult to find the little indentation to control them.This model did not come with the wireless MagSafe charger case.  Spend the extra $10 to get that feature.  Definitely worth it.Looking back I would have gotten the AirPod pros 2 for a more secure fit.  But that is just me.
Read more"
11,"What you expect and more from in the ear headphones.  Clear, vibrant sound and all day comfort.
Read more"
12,"These are the best purchase I made, the battery life on this is amazing last days without having to charge it. Definitely has noise cancellation and I feel like I can hear every beat to a song. It also came with the charger as well. I love it
Read more"
13,"These ones hurt my ears physically. I guess my ears are too small. So if you don’t have small ears then they should fit fine. I have sores on the ridges on my ears. Similar to getting new shoes and you have sores on your lower ankles. You have to break them in I guess?However the physical durability is outstanding! The bad news is they fell out of my case somehow. I don’t know how that happened as they magnetically connect to close. Lost them at work. I was able to track them and they in the gutter. It must have happened when I was loading my car up to leave. Found the next day. They were ran over BUT they still work! They still charge and the mute buttons work. Amazing! Even though I can’t use them because it’s just too painful. The size/shape doesn’t bother my teen. It still puzzles me how they got bumped out of the charging case and lost to begin with but thrilled it’s not a total loss.⭐️ ⭐️ ⭐️ ⭐️ for durability
Read more"
14,"This is the second pair I’ve bought of these same ones because they are the best in sounds quality, battery life, and overall comfort. The only AirPods I’ll buy four or five years from now if need be.
Read more"
15,"Cancels out noise. Good fit. But is super scratchy when trying to listen to music. Very, very, very annoying.
Read more"
16,"Perfect condition can’t live without these for work
Read more"
17,"Having it over two years.  It’s doing the job. It’s good quality. And the most important is that it’s comfortable. I can wear it in my ears for hours.
Read more"
18,"These earbuds are very impressive. Not only are they light, comfortable and a very pretty color they also have great sound quality. They were very easy to pair with my phone and easy to control. These arrived fully charged which is always great. Everything you need is included and the case has a digital display with the remaining battery life. Let’s just say I was impressed! Super happy with this purchase!
Read more"
19,"I really like the sound quality, fit, and quality of the headphones. They fit comfortably in my ears, are reliable, and work well for the small price. It is so easy to pair  and their battery life is great! I really like the pearl color and design and the LED display.
Read more"
20,"Excellently priced for the T12 earbuds. They have great sound on the listening end as well as by the person hearing you through them. The case has a nice translucent shell and tells the battery life when plugged in. They arrived pre-charged at 100%. The earbuds are comfortable in your ears and they have a lot of upgraded features like tap once to answer, tap twice to hang up, press and hold to reject calls, and so forth. They arrived quickly and came with a very simple instruction card. To connect to your device you just take the out of the case and connect to T12 in the Bluetooth setting on your device. No complaints. Would recommend.
Read more"
21,"They are super pretty. The color is like pearl. The sound quality is impressive. Very easy to change the tips. Have couple different tip sizes that can adapt to your ear for more confort. Very lightweight. The battery life is amazing and charged fast. Also you can control calls,play,pause,volume super easy without reaching the phone. Bluetooth connection reach a considerable distance. I go anywhere in my house without losing connection. Easy set up for different types of ears and ages. Good and compact storage. Travel is a breeze with this. I like to see movies on personal devices and the sound you get from this is like in a theater. Very recommended product especially if you travel with kids. I use them doing exercises and running and don't fall from your ear. Definitely they are super versatile and very pretty. Work perfect on calls too. It's a must have.
Read more"
22,"What a pleasant surprise to come across these HUIFU T12 wireless earbuds in white pearl iridescent color! The fit is ultra-comfortable because of the three adaptable silicone tip sizes. As soon as they are in my ears, they begin searching to pair with my devices.  The controls are easy to navigate. The audio quality is amazing and the bass is much richer than the other buds in my inventory. The case is super lightweight and has a LED indicator to display the percent charged. The price is a plus, especially for the number of available features, such as Bluetooth, long-life battery, crystal-clear sound, and waterproofness. They have become my go-to earbuds.
Read more"
23,"I was a little skeptical about getting these because I recently lost my Apple AirPods these work really good and are equally as loud. The case is lighter than my AirPods and was super easy to pair. They fit really good inside my ears. I’m able to make calls and hear really good on them. They already came pre-charged and I’ve been using them for hours and haven’t had to recharge them the case shows how much Charge the left or the right one holds which is super useful for when you need to switch or recharge. Really good price for these would recommend!
Read more"
24,"Literally, I prefer earbuds with soft ear tips. The comfort ergonomic design with 3 different sizes of soft ear cups make me ease and comfort to use it for many hours without any pain. The light weight and soft ear cups keep the earbuds stable and secure inside the ears and waterproof design also contribute to be an ideal companion for using during various physical activities. Very fast and stable Bluetooth connection, long battery life and deep powerful bass stereo sound with acceptable noise cancellation never regret me for choosing it. The touch functions are accurate and fantastic.
Read more"
25,"The sound quality on these earbuds are solid and crisp, pretty much on par with earbuds from the major brand names but at a much more reasonable price.  The battery life is extensive and even when the charge runs out, the buds can be easily recharged by placing them inside a small stylish case that can be plugged in via usb-c.  The case itself snaps shut magnetically, displays the current charge percentage and has an overall well-thought-out design.  I also really like the fact that the buds automatically power on and power off when you take them out of and place them inside the case respectively.  Overall a solid set of wireless buds for my everyday listening needs.
Read more"
26,"This review is about the audio features of the JBL Vibe Beam earbuds.I'm an audio engineer so audio quality is very important to me. As such, I use wired connections as much as possible to maintain the integrity of the audio signal.  However, many newer consumer-level products no longer have audio jacks, so I finally decided to invest in some wireless earbuds as a backup to the other earphones and headphones that I use.  I didn't want to spend a lot of money as I didn't foresee myself using this product very much, and since this is my first foray into wireless audio earphones, if they were just ok or they broke after a while, then I wouldn't feel too bad about the little money that I spent.  Also, I wanted to focus on finding wireless earbuds with excellent audio quality first as I already have an excellent high-end bluetooth earpiece for cell phone use, and I wouldn't be using this product as a bluetooth headset for my phone.After doing much research, I chose the JBL Vibe Beam's as they were at my price point, I'm familiar with JBL products, and I could reasonably expect that they were likely deliver the high audio quality that I've come to expect from JBL products.  In my research, I read reviews that complained about the harshness of the high end with high frequency instruments like cymbals or the lack of bass, so I was a bit concerned.When I received and started listening to my JBL Vibe Beams I understood what people were talking about.  However, to correct the issues, first, one must have a great fit of the earbuds in their ears.  I'm fortunate, in that with the medium tips that were already installed on the Vibe Beams, they made a snug fit in my ears right out of the box.  If you find that these earbuds do not fit well in your ears it might be worthwhile to invest in a separate set of variable sized earbud tips, or try tips from one of your other well-fitting earbuds, if you have them.  Once the earbuds were seated properly in my ear, that took care of the poor bass issue. (I have not worn them long-term so I can't speak to them falling out of my ear, as others have mentioned, but they seem to stay in pretty well.)For the misaligned frequency response issue, fortunately, the JBL Headphone app that you can install on your cell phone includes a ten-band graphic equalizer that you can use to make adjustments to the frequency response of your earbuds.  After listening to several of the reference tracks I use to check new audio equipment or my mixes against, I found that the only adjustments needed were carving out some of the upper midrange and making a very slight boost in the bottom end of the lower frequency spectrum.  I've included a screenshot of my EQ curve which I based on the Bass preset in the JBL app.  You can't tell as there is no dB scale on the side, but I needed to cut or boost by only 1-2 dB.  I find that my new EQ curve gives a more balanced frequency response than what came out of the box, and matches up well against the reference speaker system and headphones that I use for my audio mixing and mastering work.  I invite you to use my EQ curve as a starting point and adjust as sounds best to you.I also read reviews complaining about the apparent lack of volume of the Vibe Beams.  I connected the JBL's to several different sources (phone, computer, TV, MP3 player, etc.) and I found that the overall maximum volume (with limiter off) is relatively lower than wired speaker versions.  However, the input to the JBL's is relative to the maximum output of the source itself.  I found that the loudest level I could get came from my iPhone and the lowest level output came from my MP3 player (which probably doesn't offer much output anyway being a tiny portable unit).  As a comparison, I did a side-by-side test of the JBL's with my wife's AirPods (2nd gen).  What I found was that the JBL's offered an almost identical audio output level as the AirPods with any of the sources I used so that confirmed that the output level of the JBL's has more to do with the source (and the source material as some songs are mastered at a lower volume than other songs) than with the earbuds themselves.  During my test, I put the JBL's at their maximum volume output (one tap at a time on the left bud to raise the volume).  Also, I noticed during my testing that the AirPods had a pleasing midrange sound perfect for listening to podcasts or watching video, but the JBL's excelled at full-range sound on the bottom and top ends of the frequency spectrum which made them sound much better over all and well-suited for music or listening to explosive action scenes in movies.And speaking of movies, the JBL app has a switchable audio/video mode.  The video mode reduces the latency of the delivery of audio against picture, so there isn't a noticeable lip-sync issue with dialogue in a scene.  However, there is a slight degradation in the audio quality of 'video' mode versus 'audio' mode, but you will have to make the determination if the change in audio quality is acceptable to you.As a side note, I included a picture of the inner side of the earbuds.  The 'L' and 'R' designations on the earbuds are tiny as you can see, plus they are the same color as the earbuds themselves, so they are very hard to see.  I wish JBL had made the L/R letters bigger or at least made them a different color so they would be easier to see.The pairing process was fairly easy with all my bluetooth-capable devices and the range was good, only dropping out after walking approximately 60-70 feet from the source.  There was one momentary dropout during my listening but that could be due to my wife using her AirPods the same time as I was using the JBL's.I can't speak to the other features of the JBL Vibe Beams as I don't intend to use them, but as far as audio quality goes, with just a few minor tweaks, these bluetooth earbuds can go from sounding like a $50 pair of earbuds to a $500 pair of reference earphones.
Read more"
27,"Me: Ooo. Look at this deal…Also me: That’s really cheap. They’re probably trashMe: But they’re JBLs… They can’t be that bad.Also me: But they’re really cheap…Me: But they’re JBLs….All kidding aside, I was extremely surprised with these ear buds. I have an old pair of JBL Endurance Peak ONES and I’ve used them so much, they have started falling apart. I was apprehensive about these Vibes because they are so affordable, but my gosh. They sound just as good as my older JBL EPs, without the weight.They’re very easy to set up. Very comfortable. I like the matte black finish on the ones I got. One thing that also caused some apprehension when the prospect of the JBL app on my phone… I don’t particularly like installing programs I don’t NEED (and you really don’t need it for the buds to function) but this app comes with an equalizer - that works. You’ll have to play around with it to get it just right for your tastes, but it works.For the price, you can not go wrong with these ear buds.Update: It’s been almost a month with these buds, and I’m still thrilled. I use them while doing yard work, specifically weed whacking and pressure washing, and they block enough of the sound while providing excellent volume. I live in Florida, so I get really sweaty working. These things haven’t had any issue with moisture, even mist from pressure washing.My only complaint, and it’s not really the bud’s fault, is they slip out of my ears if I’m moving around a lot, but it does take a while. I’ve always needed bigger tips, so I can’t fault the buds.
Read more"
28,"These are good quality and sound is good. I use them mainly for listening to books, podcasts and music while doing chores around the house. They are comfortable enough and have good range. They hold a charge for a significant amount of time. The only thing I dont like is the ambient noise feature. I was able to turn that function off, while I am using them to listen to music, audiobooks and podcasts, but have not found a way to turn it off during phone calls. I find it very annoying and distracting and for me it affects the quality of sound. Luckily, I rarely use them for phone conversations. I would purchase these again, just a model without the ambient feature. Oh, and I did accidentally leave the ear buds in case in my jeans pocket and put them in laundry washer, I realized about 15 to 20 minutes into wash and removed them, they were completely soaked, I put them in rice for 24 hours and they were good as new, thank goodness!
Read more"
29,"Fits my ears well, gotta insert it properly so it won’t just fall off. The noise cancelling feature works okay, you can still hear background noise but no earbuds are perfect. Although I think it did work coz my friend had to call me several times coz I hardly heard her.
Read more"
30,"For the price I wasn’t expecting much, but the fit, sound quality, battery life make this a great value for your dollar.I got these so I wouldn’t have to worry about my absurdly expensive apple iPods at work.Been wearing these at home instead of the iPods, I like them that much.  They’re actually really good.I have a little JBL speaker I got from a 2013 white elephant gift, which has outlasted my Bose products, so I do like the company.
Read more"
31,"★★★★★""These JBL Vibe Beam earbuds deliver outstanding value and performance. The audio quality is crystal clear with punchy bass that JBL is known for, perfect for everything from podcasts to bass-heavy tracks. They fit comfortably for hours thanks to their ergonomic design, and the battery life is impressive – easily lasting through my workday plus commute. The touch controls are intuitive, and Bluetooth pairing is hassle-free. For this price point, you're getting remarkable sound quality and features that compete with much pricier options. Highly recommended for anyone seeking reliable wireless earbuds without breaking the bank.""
Read more"
32,"¿En donde puedo conseguir un el repuesto de uno de mis audífonos JBL de este modelo en específico? Ya qué uno de los audífonos se me daño.
Read more"
33,"Se ven muy bonitos, el material se siente mucho más frágil que el material de unos AirPods. Funcionan muy bien, ninguna queja.
Read more"
34,"Antes de todo, quiero comenzar invitándolos a que investiguen, que tipo de audio quieren y necesitan.El producto es excelente por la calidad precio que maneja, los materiales no son los mejores sin embargo, son muy buenos y resistentes, el diseño es cómodo y agradable a la vista. En tema de audio; los graves profundos y con los drivers que maneja, además, de la aplicación que te ayuda a ecualizar, hace que tenga unos muy muy buenos graves, potentes, sin perder la fidelidad o que se sientan ausentes los agudos.En conclusión, si lo que buscas es; unos potentes graves y buena calidad, estos son tu primera opción.Gracias, salu2.
Read more"
35,"Ces oreillettes conviennent parfaitement à mon utilisation (pc+portable). Tiennent bien en place pour la marche. Bon rapport qualité prix
Read more"
36,"These work so good! First of all, they sound equivalent to AirPods, and they are more comfortable than AirPods in my opinion! I just got them today and when they arrived they were on 64% and I’ve been using one earbud for 4 hours and it’s now on 43% so the battery life is great! I will be purchasing these for my son and in the future if something happens to these.
Read more"
37,"They’re not really comfortable they’re kind of hard to get in and they don’t have the sound that the Apple did sorry or that my beats headphones have.
Read more"
38,"For the price I want expecting anything great but these feel very short of that. Sound quality is not super great, the mids and highs are all you hear so they sound ok for an audio book but not great with music. The battery life is what you expect. But only a month after buying them they will only auto connect to my phone when I pulled them out of the case about 25% of the time the rest of the time I have to go into settings and manually connect them. And now they’ve gotten to where when I get it to say they’re connected, it makes the chime in the earbud like it is but zero sound or anything comes through either of the earbuds and I’m at the point where I have to go through customer support center to try to do something with it what a pain.
Read more"
39,"I love these earbuds, they are portable without loosing any sound quality, but you do loose some features.Pros:You dont loose on sound qualityThe price is greatVery comfortableVery portableAn impressive 18hrs of battery lifeCons:You loose out on the reset buttonYou loose out on case battery, the case holds no charge, only the earbuds hold charge.You cant change the modes (noise cancellation transparent etc.)
Read more"
40,"Lost my AirPods and had to find a quick replacement . These were the next at bat . These are subpar compared to the AirPods.The case is cheap plastic that doesn't show a led charging light . So the only way you know if they are ready is if you open your phone to see battery percentage.A lot of jumbling around to fit them back into the case and in your ears correctly..The fit is ok but you cannot go to sleep in them since they aren't flush to the ear .The sound quality is rich on bass but the clarity almost sounds like a ft call without speakerphone . Value is great and the noise cancellation is EXCELLENT but just know they are inferior to the 🍎 ones
Read more"
41,"sound good and fit comfortable ive used these many hours and still have half battery. small case fits in pocket.
Read more"
42,"They're small the battery lasts for a long time and quality sound from earbuds
Read more"
43,"My son is happy with these! The only downside is how they were packaged. They were shipped in a larger box with no bubble wrap, no styrofoam, no safety packaging to prevent damage in transit. Just the box of merch placed in a larger box with nothing else. Very weird. Thankfully they didn’t arrive damaged. But do better
Read more"
44,"They look great, fit great & come with the extra sizes to fit anyone. Great quality sound and hold a charge way longer than my AirPods.
Read more"
45,"The Beats Solo Buds fall short of expectations, offering subpar performance that doesn't justify their price tag. I am returning these. These earbuds should be priced no higher than $50 given their significant limitations. Sound quality is the most disappointing aspect of the Solo Buds. While Beats has delivered impressive audio in some of their higher-end models, they've clearly cut corners here. The bass lacks depth and punch, while the mids and highs sound muddy and lack clarity. Even with Spatial Audio enabled on compatible tracks, the overall audio experience remains underwhelming.Another major drawback is the Solo Buds' limited functionality. Unlike many competitors in this price range, these earbuds lack active noise cancellation, transparency mode, and wear detection. The absence of these features, which are increasingly common even in budget earbuds, severely hampers their versatility and user experience.Volume is another area where the Solo Buds struggle. Even at maximum settings, they fail to deliver sufficient loudness for many listening environments. This inadequacy is particularly noticeable in noisier settings like gyms or public transportation, where users may find themselves straining to hear their audio content.The physical controls on the Solo Buds are also problematic. The buttons are uncomfortable to press and can cause discomfort when used frequently. This poor design choice further detracts from the overall user experience. While the Solo Buds do offer some positives, such as a compact design and decent battery life, these advantages are overshadowed by their fundamental shortcomings in sound quality and functionality.
Read more"
46,"It works very well. Has a more stable Bluetooth connection than my Bose 700 or my Sony wh1000xm5. It has no ANC but it’s $100 so that’s expected. Use the appropriate silicone ear insert for proper noise isolation and you’ll barely hear the outside world. Sound quality isn’t great at lower volumes but at higher volumes it’s decent. The case is incredibly small and easy to pocket and I find when going out I grab these instead of my other two headphones.
Read more"
47,"Low price for big bang, great sound
Read more"
48,"I love the ear buds but I didn’t get the cord to charge them with.  Not sure if that was stated when I bought them, that no charging cord was included.  But I have a cord at home that I use.  That is my only complaint
Read more"
49,"I paid $25 for these wireless buds, so I wasn't expecting much, but I gotta tell you these things are amazing for the price. To be honest I can't find a fault with them.Are they as good as Airpods?They are very close, sound quality is very good, fit and finish is very good, playback time is very good, charging time is very good and they have volume control which is rare on Bluetooth buds. They also instantly pair up.At this price range you can't find a better Bluetooth bud, trust me, I have a drawer full of crappy $25 buds.Great job Yobola, you gave us a very, very good product at the same price it costs to get two combo meals at a fast food restaurant.I am very pleased with these buds, wish I could leave more than five stars.Update: it is August 2024,These buds are still working great, I use them everyday at work. Battery in them still holds a good charge.
Read more"
50,"I have had these wireless earbuds for a few months now and they are still going strong! They look just like AirPods and have great sound insulation. The battery lasts for about 15-20 hours of listening - GREAT battery life - and charge very quickly. I am actually on my second pair of these earbuds because the first ones got quieter and quieter over time - I had them for about a year - and eventually could barely hear them. That very well might be user error though (water, dirt, etc). Would highly recommend.
Read more"
51,"I love the earphones, the sound quality is great and the black is sleek. I originally bought a pair about 9 months ago but the right earphone stopped working. For the price of the headphones though they lasted quite a while. I wear them everyday while working. I’ll definitely purchase again and next time in purple :)
Read more"
52,"Great price and solid sound
Read more"
53,"Works great!
Read more"
54,"I bought these primarily for the gym and overall I've really enjoyed them. The sound quality is decent, and unlike other earbuds I've tried, I don't have to repeatedly adjust back in place in my ear, and they don't hurt. The battery life on these is pretty great too, only once did I ever fully run out of battery and that was because I was purposefully testing the battery life.Unfortunately in the past few weeks they've begun to have some malfunctions. When I return the earbuds to their case, often times it seems like one of both of them don't recognize that they are back in the case and they don't turn off and I've been unable to find a way to manually turn them off so far. I end up having to fiddle with my phone Bluetooth settings until they disconnect, but the earbuds often times are still on and draining their battery and if they're nearby my phone they'll often reconnect on their own and cause me to miss notifications or calls because the audio is playing on the earbuds when I don't want it to.Unfortunately it's looking like I'm gonna have to retire these because, while they still work, this issue means that the battery is almost constantly draining and I always have to make sure they haven't connected to my phone on their own.
Read more"
55,"My first pair of these lasted quite a while.  That wouldn't be impressive, except that the price point on these is so good.  I love these earbuds, so when the first pair I bought eventually seemed not to produce much volume anymore, I bought a replacement pair.There was some oddness trying to get the second pair to pair to my phone, probably because it still remembered the old pair.  But since they synced up, these have been working great!  No volume troubles.  I will buy a third pair when/if my new ones ever go out.
Read more"
